,Year,Song,Artist,lowerArtist,Initial,lowerSong,Lyrics
0,2016,"""One Dance""",Drake Featuring Kyla and Wizkid,drake,d,onedance,search    t    t   tone dance  lyrics        drake lyrics              one dance     feat  kyla  wizkid   n        intro   kyla   wizkid    nbaby  i like your style  n  n  verse 1   drake    ngrips on your waist  nfront way  back way  nyou know that i don  t play  nstreets not safe  nbut i never run away  neven when i  m away  noti  oti  there  s never much love when we go ot  ni pray to make it back in one piece  ni pray  i pray  n  n  hook   drake    nthat  s why i need a one dance  ngot a hennessy in my hand  none more time   fore i go  nhigher powers taking a hold on me  ni need a one dance  ngot a hennessy in my hand  none more time   fore i go  nhigher powers taking a hold on me  n  n  bridge   kyla   wizkid    nbaby  i like your style  n  n  verse 2   drake    nstrength and guidance  nall that i  m wishing for my friends  nnobody makes it from my ends  ni had to bust up the silence  nyou know you gotta stick by me  nsoon as you see the text  reply me  ni don  t wanna spend time fighting  nwe  ve got no time  n  n  hook   drake    nand that  s why i need a one dance  ngot a hennessy in my hand  none more time   fore i go  nhigher powers taking a hold on me  ni need a one dance  ngot a hennessy in my hand  none more time   fore i go  nhigher powers taking a hold on me  n  n  break   wizkid    ngot a pretty girl and she love me long time  nwine it  wine it  very long time  noh  yeah  she steady on grindin    nback up  back up  back up and wine it  nback up  back up and wine it  nback up  back up  back up and wine it  noh  yeah  she steady on grindin    nback up  back up and wine it  girl  n  n  bridge   kyla   wizkid    ntell me  i need to know  where do you wanna go   n  cause if you  re down  i  ll take it slow  nmake you lose control  nwhere  where  where  nwhere  where  where  where  noh  yeah  she steady on grindin    nwhere  where  where  nback up  back up and wine it  girl  nwhere  where  where  where  n  cause if you  re down  nback up  back up and  n  cause if you  re down  nback up  back up and  n  cause if you  re down  nback up  back up and  n  n  hook   drake    ni need a one dance  ngot a hennessy in my hand  none more time   fore i go  nhigher powers taking a hold on me  ni need a one dance  ngot a hennessy in my hand  none more time   fore i go  nhigher powers taking a hold on me n                                      
1,2016,"""Ultralight Beam""","Kanye West Featuring Chance The Rapper, Kirk Franklin, Kelly Price and The-Dream",kanyewest,k,ultralightbeam,search    t    t   tultralight beam  lyrics        kanye west lyrics              ultralight beam     feat  chance the rapper  kelly price  kirk franklin   the dream   n        natalie is great  mother     nyes  god  nwe don  t want no devils in the house  god  nyes  lord  nwe want the lord  nyes  jesus  nand that  s it  nyes  god  nhallel xe2 x80 x94 hand over satan  nyes  jesus  njesus praise the lord  nyes  god  nhallelujah  god  nyes  god  nwe don  t want no devils in the house  god  nyes  lord  nwe want the lord  nyes  jesus  nand that  s it  nyes  god  nhallel xe2 x80 x94 hand over satan  nyes  jesus  njesus praise the lord  nyes  god  n  n  kanye west   the dream    ni  m tryna keep my faith  nwe on an ultralight beam  nwe on an ultralight beam  nthis is a god dream  nthis is a god dream  nthis is everything  nthis is everything  ndeliver us serenity  ndeliver us peace  ndeliver us loving  nwe know we need it  nyou know we need it  nyou know we need it  nthat  s why we need you now  oh   ni pray for paris  npray for the parents  nthis is a god dream  nthis is a god dream  nthis is a god dream  nwe on an ultralight beam  nwe on an ultralight beam  nthis is a god dream  nthis is a god dream  nthis is everything  neverything  thing  thing  thing  n  n  the dream   choir    ni  m tryna keep my faith  nbut i  m looking for more  nsomewhere i can feel safe  nand end my holy war  ni  m tryna keep my faith  n  n  kelly price  choir     nso why send depression not blessings   nwhy  oh why  d you do me wrong  more  nyou persecute the weak  nbecause it makes you feel so strong to save  ndon  t have much strength to fight  nso i look to the light  lord  nto make these wrongs turn right  nhead up high  i look to the light  nhey  cause i know that you  ll make everything alright  nand i know that you  ll take good care of your child  noh  no longer am afraid of the night  ncause i  i look to the light  n  n  chance the rapper    nwhen they come for you  i will shield youame  ni will field their questions  i will feel your pain  nno one can judge  nthey don  t  they don  t know  nthey don  t know  nfoot on the devil  s neck   til it drifted pangaea  ni  m moving all my family from chatham to zambia  ntreat the demons just like pam  ni mean i fuck with your friends  but damn  gina  ni been this way since arthur was anteater  nnow they wanna hit me with the woo wap the bam  ntryna snap photos of familia  nmy daughter look just like sia  you can  t see her  nyou can feel the lyrics  the spirit coming in braille  ntubman of the underground  come and follow the trail  ni made sunday candy  i  m never going to hell  ni met kanye west  i  m never going to fail  nhe said let  s do a good ass job with chance three  ni hear you gotta sell it to snatch the grammy  nlet  s make it so free and the bars so hard  nthat there ain  t one gosh darn part you can  t tweet  nthis is my part  nobody else speak  nthis is my part  nobody else speak  nthis little light of mine  nglory be to god  yeah  ni  mma make sure that they go where they can  t go  nif they don  t wanna ride i  mma still give them raincoats  nknow what god said when he made the first rainbow  njust throw this at the end if i  m too late for the intro  nugh  i  m just having fun with it  nyou know that a nigga was lost  ni laugh in my head  ncause i bet that my ex looking back like a pillar of salt  nugh  cause they  ll flip the script on your ass like wesley and spike  nyou cannot mess with the light  nlook at lil chano from 79th  n  n  kanye west    nwe on an ultralight beam  nwe on an ultralight beam  nthis is a god dream  nthis is a god dream  nthis is everything  neverything  n  n  the dream  natalie is great    choir    nyes  god  nhallelujah  ni  m tryna keep my faith  nyes  jesus  nthat  s it  nbut i  m looking for more  nsomewhere i can feel safe  nand end my holy war  n  n  kirk franklin   choir    nfather  this prayer is for everyone that feels they  re not good enough   nthis prayer  s for everybody that feels like they  re too messed up   nfor everyone that feels they  ve said  i  m sorry  too many times   nyou can never go too far when you can  t come back home again  that  s why i need     nfaith  more  safe  wa                                      
2,2016,"""Money Longer""",Lil Uzi Vert,liluzivert,l,moneylonger,search    t    t   tmoney longer  lyrics        lil uzi vert lyrics              money longer         it do not matter  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faster  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faster  n  nmoney so old that its spoiled  nmy lil   bitch so spoiled  ni rub her down in oil  ni got money now you know it  ndiamonds on my teeth  nyour shit look like foil  nchris brown said these hoes ain  t loyal  nnone of these hoes got no morals  nall my niggas g  ed up  nmy glasses be dita  nnever thought it would be days i could kick my feet up  nnever thought that she would need me that much if i leave her  n  nit do not matter  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faster  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faster  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faster  n  nall it is is faction  no time for acting  all this money lasting  nlike go out to eat  get that blackened salmon  nwhen i  m with my girl we  re pharrell and vashtie  ndamn it we are not lasting  nin that pussy you know i like it rough  then i  m just blasting  ntell that lil bitch that i  m really from mars  bitch do not start  npull up my car automatic  dealt with a star  n  nit do not matter  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faster  nturn to a savage  pocket got fatter  she call me daddy  nsmoking that gas  gone off that xanny  she on the powder  nnowadays i am on  my haters got sadder  nmoney got longer  speaker got louder  car got faste                                      
3,2016,"""Chill Bill (Remix)""","Rob $tone Featuring D.R.A.M., Denzel Curry and Cousin Stizz",robstone,r,chillbillremix,search    t    t   tchill bill  remix   lyrics        rob stone lyrics              chill bill  remix      feat  cousin stizz  denzel curry   d r a m    n        rob  tone    nrob  tone  two damn phones  nbabylons can  t crack the code  nused to sip out styrofoam  nbut figured i should stick to dro  weed    nbackwoods overload  ndon  t like to smoke them swishers  hoe  nif you hit my liquor store  nit  s 50 cents for single ports  n  nsaid she wanna roll with me and smoke up all my weed  ni said   baby just buy dutches cause you can  t smoke for free   ni got some loud but no money  babe  buy me a fiji  nshe said you need a job  bitch fuck a job i still get cheese  n  n  d r a m     nbig baby  nshe all on me cause my dick crazy  nblack  dark patrick swayze  nfeel like i am in the mid 80s  ncause i am a real rockstar  nreally did a song with neil young  nday ones hit the lock hard  nthe block is where i get these pills from  yeah  ni don  t even know just how i ended up here  ni mean i got here from the grind  but how i get in this chair   ni mean i only popped a xan and drank some liquor and beer  nyou say you couldn  t understand me cause i  m not speakin   clear  ni be gettin   pussy in zombie mode  nthe reason is because i don  t recall it  yo  ni woke up wishing that she  d call me though  nonly thing that i remember is she slide me slow  n  n  rob  tone    nsaid she wanna roll with me and smoke up all my weed  ni said   baby just buy dutches cause you can  t smoke for free   ni got some loud but no money  babe  buy me a fiji  nshe said you need a job  bitch fuck a job i still get cheese  n  n  denzel curry    nsuper hot  you just might need a receiver  nsativa  two liters  i might need a re up  ni  m dorky  i  m geeked up  3 4ths and a beat  bust it  nstill couldn  t reach me without the antenna  neyes open wide  that is my panorama  npanoramic view  and the scene  it  s so beautiful  nblowin   os  that  s a hula hoop  beat the pussy like fruity loops  ni  m the realest nigga ever  it  s a fact cause i  m livin   proof  nnow i  m high  i  m really high  i feel my face is numbing  nfeeling that i  m born again  ni am the second coming  nsimon says get out my head  nthat  s what my thoughts would tell me  nnow the mockingbird is dead  nmy memories would tell me  n  n  cousin stizz    ni  m the fuckin   fresh prince  nbut right now i  m ill bill  nakon  i still kill  nburnin   these hundreds like lil   bills  nmy life is cold  ni think about it and feel chills  nmy dogs is hungry for big meals  ni just count money and peel seals  npour up a pint  nroll me one nice cause i  m wavy  no gills here  nwhat it look like   ni  m gettin   love from the hood cause i  m still there  nwhen i get right on the charts like i live there  nniggas be old news and act like we still care  nshe wanna ride me like steerin   wheel  ngirl it  s the morning  you still here   ni thought i told you i  m good on these hoes  ni just need money to get me some more  ncallin   my plug like   ayy what it hit for    nbeen on my grind even when i was broke  nfrom the corners  hell yeah that  s for sure  nwe up  niggas  never been here before  nain  t no limits when you kick in the door  ndamn  she said i  m chill  yeah i know  n  n  rob  tone    nsaid she wanna roll with me and smoke up all my weed  ni said   baby just buy dutches cause you can  t smoke for free   ni got some loud but no money  babe  buy me a fiji  nshe said you need a job  bitch fuck a job i still get cheese n                                      
4,2016,"""Work""",Rihanna Featuring Drake,rihanna,r,work,search    t    t   twork  lyrics        rihanna lyrics              work     feat  drake   n        rihanna    nwork  work  work  work  work  work  nhe said me haffi  nwork  work  work  work  work  work   nhe see me do mi  ndirt  dirt  dirt  dirt  dirt  dirt   nso me put in  nwork  work  work  work  work  work  nwhen you ah guh  nlearn  learn  learn  learn  learn  nmeh nuh cyar if him  nhurt  hurt  hurt  hurt  hurting  n  ndry     me a desert him  nnuh time to have you lurking  nhim ah go act like he nuh like it  nyou know i dealt with you the nicest  nnuh body touch me you nuh righteous  nnuh badda  text me in a crisis  ni believed all of your dreams  adoration  nyou took my heart and my keys and my patience  nyou took my heart on my sleeve for decoration  nyou mistaken my love i brought for you for foundation  nall that i wanted from you was to give me  nsomething that i never had  nsomething that you  ve never seen  nsomething that you  ve never been   nmmmmm   nbut i wake up and act like nothing  s wrong  njust get ready fi     n  nwork  work  work  work  work  work  nhe said me haffi  nwork  work  work  work  work  work   nhe see me do mi  ndirt  dirt  dirt  dirt  dirt  dirt   nso me put in  nwork  work  work  work  work  work  nneeeeeer   nwhen yuh ago learn learn learn learn learn learn   nbefore the tables turn turn turn turn turn turn   n  nbeg you something  please  nbaby don  t you leave  ndon xe2 x80 x99t leave me stuck here in the streets  uh huh  nif i get another chance to  ni will never  no neveeglect you  ni mean who am i to hold your past against you   ni just hope that it gets to you  ni hope that you see this through  ni hope that you see this true  nwhat can i say   nplease recognize i  m tryin    babe     ni have to  n  nwork  work  work  work  work  work  nhe said me haffi  nwork  work  work  work  work  work   nhe see me do mi  ndirt  dirt  dirt  dirt  dirt  dirt   nso me put in  nwork  work  work  work  work  work  nwhen you ah guh  nlearn  learn  learn  learn  learn  nmeh nuh cyar if him  nhurt  hurt  hurt  hurt  hurting  n  n  drake and rihanna    nyeah  okay  nyou need to get done  done  done  done at work  come over  nwe just need to slow the motion  ndon  t give that away to no one  nlong distance  i need you  nwhen i see potential i just gotta see it through  nif you had a twin  i would still choose you  ni don  t wanna rush into it  if it  s too soon  nbut i know you need to get done  done  done  done  nif you come over  nsorry if i  m way less friendly  ni got niggas tryna end me  oh  ni spilled all my emotions tonight  i xe2 x80 x99m sorry  nrollin    rollin    rollin    rollin    rollin    nhow many more shots until you  re rollin     nwe just need a face to face  nyou could pick the time and the place  nyou spent some time away  nnow you need to forward and give me all the     n  n  rihanna and drake    nwork  work  work  work  work  work  nhe said me haffi  nwork  work  work  work  work  work  nhe se me do mi  ndirt  dirt  dirt  dirt  dirt  dirt   nso me put in  nwork  work  work  work  work  work  nwhen you ah guh  nlearn  learn  learn  learn  learn  nmeh nuh cyar if him  nhurt  hurt  hurt  hurt  hurting  n  n  rihanna    nmmmmm  mmmmm  nmmmmm  mmmmm  nwork  work  work  work  work  work  nmmmmm  mmmmm n                                      
5,2016,"""Wicked""",Future,future,f,wicked,search    t    t   twicked  lyrics        future lyrics              wicked         wicked tunes  you know what i  m sayin     nwassup  n  nwicked  wicked  wicked  wicked  wicked  nhold up  wicked  wicked  wicked  wicked  nwicked  wicked  wicked  wicked  wicked  nhold up  wicked  wicked  wicked  wicked  nstand up in the motor  bust the dashboard  nstand up in the motor  bust the dashboard  nhold up  wicked  wicked  wicked  wicked  nwicked  wicked  wicked  wicked  wicked  n  ncandles burning  money burning  graveyard these niggas  nphantom parkin    big dawg barkin   hey  nblood tales on me  oh oh oh oh  nshawty want that wig  oh oh oh oh  ni  m drippin   cartier  oh oh oh oh  nput a gold bird on you  that  s what  s happening  ni put that lingo on her  she was spanish  ni fill a one liter up with xannies  nthis continental and it  s panoramic  nit  s complimentary to the savages  nyou fuck around with me  it be a tragedy  ni want green  green  green  all asparagus  ni drink lean  lean  lean it ain  t embarassing  n  nwicked  wicked  wicked  wicked  wicked  nhold up  wicked  wicked  wicked  wicked  nwoah  wicked  wicked  wicked  wicked  wicked  n  nnow she going  now that bitch going  ni purchase avion and now she lit  huh  nwedding band rings on me lit  huh  nmarried to the game  i  m the shit  huh  nwoah  woah  woah  woah  nbitch we made men  nwe ain  t pullin   up in cribs that we can  t get  nyou can  t pull a bitch on instagram i ain  t hit  huh  nand then she tellin   lies about me cause she ain  t shit  uh  nshe want that big big dog status  ni was in the alley with them nickel bags  tallyin    nnow i  m taliban gang status  that  s what  s happenin    nand you niggas can  t get close cause you don  t know me  nit ain  t no more dip and dabbin    hangin   low key  nthese bitches see me and they panic  ni can  t believe it  i was on the corner gamblin    n  nwicked  wicked  wicked  wicked  wicked  nhold up  wicked  wicked  wicked  wicked  nwicked  wicked  wicked  wicked  wicked  nwicked  wicked  wicked  wicked  wicked  nstand up in the motor  bust the dashboard  nstand up in the motor  bust the dashboard  nwicked  wicked  wicked  wicked  wicked  nhold up  wicked  wicked  wicked  wicked n                                      
6,2016,"""Famous""",Kanye West Featuring Rihanna and Swizz Beatz,kanyewest,k,famous,search    t    t   tfamous  lyrics        kanye west lyrics              famous     feat  rihanna   swizz beatz   n        rihanna   kanye west    nman i can understand how it might be  nkinda hard to love a girl like me  ni don  t blame you much for wanting to be free  ni just wanted you to know  nswizz told me let the beat rock  n  n  kanye west   swizz beatz    nfor all my southside niggas that know me best  ni feel like me and taylor might still have sex  nwhy  i made that bitch famous  god damn   ni made that bitch famous  nfor all the girls that got dick from kanye west  nif you see   em in the streets give   em kanye  s best  nwhy  they mad they ain  t famous  god damn   nthey mad they  re still nameless  talk that talk  man   nher man in the store tryna try his best  nbut he just can  t seem to get kanye fresh  nbut we still hood famous  god damn   nyeah we still hood famous  n  n  rihanna   swizz beatz    ni just wanted you to know  ni loved you better than your own kin did  nfrom the very start  ni don  t blame you much for wanting to be free  nwake up  mr west  oh  he  s up   ni just wanted you to know  n  n  kanye west   swizz beatz    ni be puerto rican day parade floatin    nthat benz marina del rey coastin    nshe in school to be a real estate agent  nlast month i helped her with the car payment  nyoung and we alive  whoo   nwe never gonna die  whoo   ni just copped a jet to fly over personal debt  nput one up in the sky  nthe sun is in my eyes  whoo   nwoke up and felt the vibe  whoo   nno matter how hard they try  whoo   nwe never gonna die  n  n  rihanna    ni just wanted you to know  n  n  sister nancy   swizz beatz    nbam bam  bam bam  nbam bam dilla  bam bam  n  ey what a bam bam  nhow you feeling right now  let me see your lighters in the air  nbam bam dilla  bam bam  nbam bam eh  nbam bam  bam bam  nlet me see your middle finger in the air  nbam bam  bam bam  nbam bam dilla  bam bam  nlet me see you act up in this motherfucker  n  ey what a bam bam  nbam bam dilla  bam bam  nhow you feelin    how you feelin  how you feelin   in this mother fucker  god damn  nbam bam  none thing you can  t do is stop us now  nbam bam  bam bam  nbam bam dilla  bam bam  nyou can  t stop the thing now  n  ey what a bam bam  nman it  s way too late  it  s way too late  it  s way too late you can  t fuck with us  nbam bam dilla  bam bam  nbam bam  bam bam  nbam bam  bam bam  nto the left  to the right  nbam bam dilla  bam bam  ni wanna see everybody hands in the air like this  n  ey what a bam bam  nbam bam  bam bam  nbam bam dilla  bam bam  n  n  nina simone    ni just wanted you to know  ni loved you better than your own kin did  nfrom the very start  ni don  t blame you much for wanting to be free  ni just wanted you to know n                                      
7,2016,"""Lockjaw""",French Montana Featuring Kodak Black,frenchmontana,f,lockjaw,search    t    t   tlockjaw  lyrics        french montana lyrics              lockjaw     feat  kodak black   n        intro   french montana    nmy nigga on the road  nyou never told me  nmontana  n  n  hook   kodak black   french montana    nit be hard to watch the cash when the bands keep droppin    ngot the big 40 on me so my pants keep fallin    nit be hard to understand me cause my jaw keep lockin    ni ain  t even tryna talk cause my jaw keep lockin    nshe ain  t tryna be a freak but them bands keep poppin    nstill caught up in the streets  nand the feds still knockin    nit be hard to understand me my jaw keep lockin    nit be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit  d be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit  d be hard to understand me cause my jaw keep lockin    n  n  verse 1   kodak black   french montana    ni chew your lil   one up  ni boot a nigga up  ngot the snipers in the dually truck and we tooly  d up  ni be tryin   change my life  nbut a monkey on my back  ni  ve been rollin   all night  ni got a monkey on my back  n skrrr  skrrr   nall about the mula  nthrow a hundred chains on  tryna cool her  ni know a nigga blessin    pray to god  nsoon as the flow hit my feed i  m getting high  ni go in  lookin   crooked in the face  nshe keep lookin   in her drink  nprobably think the liquor laced  nnah bitch  i  m 1k  nand i  m gonna keep it one hunda  nbiting down    bout to rip my tongue off  n  n  hook   kodak black   french montana    nit be hard to watch the cash when the bands keep droppin    ngot the big 40 on me so my pants keep fallin    nit be hard to understand me cause my jaw keep lockin    ni ain  t even tryna talk cause my jaw keep lockin    nshe ain  t tryna be a freak but them bands keep poppin    nstill caught up in the streets  nand the feds still knockin    nit be hard to understand me my jaw keep lockin    nit be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit be hard to understand me cause my jaw keep lockin    n  n  verse 2   kodak black   french montana    nslide in the cutlass and you know i paint it candy  nthen i pulled up in a bucket but i used to want to a hemi  nand i  m pouring up the round then i  m sippin on remy  ni ain  t fuckin with that white shit i  m throwed off henny  npull up to the back  black zac  nchief rockin    nand the feds keep lurkin    ncause the boys keep talkin    nrich god  nran off on the plug about forty times  nforty nigga strapped  we the 49  ers  nbite down  nfun huh   ngot two twig bitches doing 69  njump off to the mula and you know that  n50 chains on  ndiamonds flashing like kodak  ni remember toting  38  now i got a semi  ncould have been had a baby k  nbut i wasn  t ready  nshawty say she like my lyric pad  nthought i went to cali  nnah baby i ain  t want no wap  i just want the fetty  n  n  hook   kodak black   french montana    nit be hard to watch the cash when the bands keep droppin    ngot the big 40 on me so my pants keep fallin    nit be hard to understand me cause my jaw keep lockin    ni ain  t even tryna talk cause my jaw keep lockin    nshe ain  t tryna be a freak but them bands keep poppin    nstill caught up in the streets  nand the feds still knockin    nit be hard to understand me my jaw keep lockin    nit be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit be hard to understand me cause my jaw keep lockin    n  n  outro   kodak black   french montana    nay  ay ay  ay  ay ay ay  skrr  ay  ay ay ay  ay  ay ay  nbite down  bite down  nit be hard to understand me cause my jaw keep lockin    nbite down  bite down  nit be hard to understand me cause my jaw keep lockin    nay  ay ay ay n                                      
8,2016,"""Pick Up the Phone""",Travis Scott Featuring Young Thug and Quavo,travisscott,t,pickupthephone,search    t    t   tpick up the phone  lyrics        travis scott lyrics              pick up the phone     feat  young thug   quavo   n        young thug   starrah    nyaaah  oh yaaah  nooooh  thugger  nyeah  travis scott  nthugger  thugger baby  nyaah  n  n  travis scott    ni pour a four up  ni call your hoe up  njust to fuck her and show her  ni just went  got my dough up  npullin   off and i  m gone   nthen i go and pour four up  nthen i roll up that roll up  nthen i  m callin   your hoe up  n like brrrrr   n  npick up the phone  baby  like brrrrr   ni know you  re home  baby  it  s lit    ni  m in the zone  baby  straight up    ni just poured up a four baby  yeah  yeah   n  n  travis scott   young thug    nnever will i cheat on you  nnever will i commit treason  nblowin   a bag on you  ndo all of that foo reason  ni  m a pull up and murk too  nhittin   the block and i  m bleedin    nthrowing that rollie on you  ni like the way it be freezin    n brrrrr   n  n  travis scott    npick up the phone  baby  like brrrrr   ni know you  re home  baby  it  s lit    ni  m in the zone  baby  straight up    ni just poured up a four baby  yeah  yeah   n  n  young thug    npour up a four of that actavis  nlean like my mothafuckin   granny did  nsuper bowl ring with big body benz  ni stack it up now i  m just better livin    ngot screws in my mouth  i  m just preppin   it  ni  m fucking this cash up  i  m not celibate  ni  m packin   it up like a reverend  ni need all this cash  i got hella kids  ni  m a play dumb and get left in the middle  nback the fuck up  you too little  nhit   em with three like i  m miller  ni don  t talk to no man in the middle  ni don  t talk to no man  i  m just kiddin    nbut i did pay my sister  s tuition  ni feel lucky  i should play the lottery  nwalkin   off with it  like sonny liston  nmama told me i  m her brightest star  nmama told me don  t hate on the law  nbecause everybody got a job  nbecause everybody wan   be a star  real shit  real shit   nplease believe every motherfucker around here wanna be a part  nshe gon   do anything in her power to be with ya   boy  n brrrrr   n  n  travis scott    npick up the phone  baby  like brrrrr   ni know you  re home  baby  it  s lit    ni  m in the zone  baby  straight up    ni just poured up a four baby  yeah  yeah   n  n  young thug    nnever will l cheat on you  nnever will i commit treason  nblowin   a bag on you  ndo all of that foo reason  ni  m a pull up and murk too  nhittin   the block and i  m bleedin    nthrowin   that rollie on you  ni like the way you be freezin    n  n  quavo    npick up the phone  nmacaulay culkin   baby  home alone  ni thought i was right  nthen i had to man up  i was wrong  ni hate when we fight  nshe in love with the pipe  ni draped her up in ice  i pour my four on ice  nbirds in the trap sing brian mcknight  npercocet and codeine please don  t take my life  nshe had a dream with celine  nso i bought it twice  nyoung nigga make it right back tonight  ngirl you  re so cute and your ass is nice  ndrinkin   on four and i  m shootin   dice  nwrist polar bear  klondike  nand i  m loving all races  hell nah don  t discriminize  ndrinkin   on clean  sanitize  nostritch seats with the frog eyes  nif i ever call your phone baby  nbest believe it  s only one time  n brrrrrr   n  n  travis scott    npick up the phone  baby  like brrrrr   ni know you  re home  baby  it  s lit    ni  m in the zone  baby  straight up    ni just poured up a four baby  yeah  yeah   n  n  young thug    nnever will l cheat on you  nnever will i commit treason  nblowin   a bag on you  ndo all of that foo reason  ni  m a pull up and murk too  nhittin   the block and i  m bleedin    nthrowin   that rollie on you  ni like the way you be freezin    n  npick up the phone  pick up the phone   ni  m in the zone  pick up the phone  baby  ni  m in the zone n                                      
9,2016,"""X""",21 Savage Featuring Future,21savage,19,x,search    t    t   tx  lyrics        21 savage   metro boomin lyrics              x     feat  future   n        21 savage    n10 bad bitches in a mansion  nwrist on milly rock them diamonds on me dancin    nwhen you workin   hard then your money start expandin    ni got model bitches wanna lick me like some candy  nand them drugs come in handy  nlast name savage bitch  but no i  m not randy  nhit her with no condom  had to make her eat a plan b  nand i  m sippin   on that codeine  not brandy  n  ni  m just stuntin   on my ex bitch  ni  m just flexin   on my ex bitch  nhold up  i  m just stuntin   on my ex bitch  nhold up  i  m just flexin   on my ex bitch  nfuck a wedding ring  i bought a necklace  ndiamonds got the flu  tryin   not to catch this  ni left that ho alone cause she was ratchet  nall these bitches salty  they can  t stand me  n  n  21 savage   future    nflexin   on that bitch  hold up  flexin   on my ex bitch  nbought a necklace on that bitch  turn up  nher friend gon   lick me like a fruit roll up  nshe in her feelings on the   gram  grow up  n21  flexin   on that bitch  hold up  ni ain  t textin   back that bitch  hold up  ni ain  t stressin   bout that bitch  hold up  n21 gon   get the stick  hold up  nhold up  hold up  bitch i like to ball  nwithout no weave  you bald  nhold up  hold up  bitch i spent your rent inside the mall  ntold her she got a nigga but he broke  she lost  nhold up at this private location  nhold up  put her back in rotation  nhold up  bitches on me  immigration  nhold up  goin   through the translations  n  n  21 savage    ni  m just stuntin   on my ex bitch  ni  m just flexin   on my ex bitch  nhold up  i  m just stuntin   on my ex bitch  nhold up  i  m just flexin   on my ex bitch  nfuck a wedding ring  i bought a necklace  ndiamonds got the flu  tryin   not to catch this  ni left that ho alone cause she was ratchet  nall these bitches salty  they can  t stand me  n  n  21 savage   future    nhold up  bitch my rolex on fleek  nhold up  bitch my diamonds on fleek  nhold up  i got gold on my teeth  nhold up  you got rainbow on your feet   nhold up  corny niggas don  t impress me  nhold up  never let a bitch dress me  nhold up  can  t no motherfuckin   judge check me  nhold up  i don  t give a fuck about no ring  nhold up  money make my old bitches hate me  nhold up  bitch you still stay on section 8  nhold up  my new bitch wetter than a lake  nhold up  and she love to let me paint her face  nhold up  fell in love with some good throat  nhold up  fell in love with some good throat  nhold up  ripped them confidential papers up  nhold up  you done made me wake my savage up  n  n  21 savage    ni  m just stuntin   on my ex bitch  ni  m just flexin   on my ex bitch  nhold up  i  m just stuntin   on my ex bitch  nhold up  i  m just flexin   on my ex bitch  nfuck a wedding ring  i bought a necklace  ndiamonds got the flu  tryin   not to catch this  ni left that ho alone cause she was ratchet  nall these bitches salty  they can  t stand me  n  n  21 savage    n10 bad bitches in a mansion  nwrist on milly rock them diamonds on me dancin    nwhen you workin   hard then your money start expandin    n  n  future    nif young metro don  t trust you  i  m gon   shoot you  nand them drugs come in handy  nlast name hendrix bitch  you know i  m not jimi  nhit   em with no condoms  ship her right quick out the country  nand i  m sippin   codeine  tats all on my stomach n                                      
